case_id,title,concept_tag,symptom,topology_note,show_outputs,expected_fault,osi_layer,severity,expected_next_command,expected_fix,verification_method
NET-001,"Trunk Port in Wrong Access VLAN",VLAN,"Host on VLAN 10 cannot ping the server that is also expected to be in VLAN 10. Other hosts on the same access switch reach the server fine.","Two access switches connect to a distribution switch. PC_A is in VLAN 10 and server ServerX should be in VLAN 10. Both are physically connected to the same access switch.",PENDING_CAPTURE,"The switch access port that plugs into the server is assigned to VLAN 20 instead of VLAN 10, so the server is isolated from VLAN 10 hosts.",Layer 2,High,show interfaces switchport,"Verify the access VLAN assigned to the port with show interfaces switchport | confirm the current access vlan; reassign the port with switchport access vlan 10; verify with show vlan brief; then test connectivity again with ping from the host.",SAMPLE
NET-002,"No Inter-VLAN Routing",VLAN,"Hosts on different VLANs cannot ping each other. Hosts within the same VLAN can ping each other successfully.","A single access switch carries VLAN 10 and VLAN 20. PCs in VLAN 10 and PCs in VLAN 20 cannot communicate with each other. There is no router or Layer 3 switch providing routing between the VLANs.",PENDING_CAPTURE,"Inter-VLAN routing is not configured, so traffic between VLAN 10 and VLAN 20 has no router to forward it.",Layer 2,Medium,show ip route,"Confirm there is no router or SVI providing Layer 3 routing between the VLANs with show ip route; configure inter-VLAN routing either using a router-on-a-stick with subinterfaces or a Layer 3 switch with SVIs; verify by pinging between VLAN hosts.",SAMPLE
NET-003,"New Port in Mismatched VLAN",VLAN,"A newly added PC has no connectivity even though it was configured with a valid IP address. The PC cannot reach the gateway or any other device.","A network administrator adds a new PC and plugs it into an access switch. The PC is configured for subnet 192.168.30.0/24, but the access port it is connected to is assigned to VLAN that maps to a different subnet.",PENDING_CAPTURE,"The access port is statically assigned to a VLAN whose corresponding IP subnet does not match the IP configuration of the newly added PC.",Layer 2,Medium,show vlan brief,"Check the VLAN assigned to the access port with show vlan brief; confirm the IP subnet used by that VLAN; move the port to the correct VLAN with switchport access vlan <correct_vlan>; verify connectivity with ping.",SAMPLE
NET-004,"PC Missing Default Gateway",Default Gateway,"A PC has a valid IP address but cannot reach any device outside its own subnet. It can reach hosts only on the local LAN.","The PC is configured with an IP address and subnet mask but the default gateway field is empty. There is a router on the LAN providing the gateway for that subnet.",PENDING_CAPTURE,"The default gateway is missing on the PC, so the PC does not know where to send traffic destined for other subnets.",Layer 3,High,ipconfig,"Open the PC IP configuration with ipconfig; add the correct default gateway (the router interface address for the subnet) in the PC network settings; verify by pinging a device on a remote subnet.",SAMPLE
NET-005,"Wrong Default Gateway Address",Default Gateway,"A server can reach hosts on its own subnet but cannot reach any device outside the subnet. Ping to the gateway itself also fails.","The server is configured with a default gateway that points to an IP address that is not a router interface (a non-router address, such as another host or an unused address).",PENDING_CAPTURE,"The server default gateway points to a non-router address, so the server cannot forward traffic to other subnets.",Layer 3,Medium,ipconfig,"Check the configured default gateway with ipconfig; identify the correct router interface address for that subnet with show ip interface brief; update the server gateway; verify remote connectivity with ping.",SAMPLE
NET-006,"Duplicate IP Address on Two Hosts",IP Addressing,"One host intermittently drops off the network. Network connectivity is unstable and unpredictable.","Two PCs on the same subnet are both configured with the same static IP address. When both are powered on, the network experiences address conflicts.",PENDING_CAPTURE,"Two hosts are configured with the same static IP address, causing an address conflict and unstable connectivity for both.",Layer 3,High,ipconfig /all,"Identify the duplicate IP by checking ipconfig /all on the affected hosts; change one host to a unique unused IP address within the subnet; confirm uniqueness; verify stable connectivity by pinging each host.",SAMPLE
NET-007,"DHCP Pool Exhausted",DHCP,"Clients on the DHCP network receive no IP address and default to an Automatic Private IP Address (169.254.x.x). They cannot reach the network.","A DHCP server is configured with a limited address pool for a subnet that has more clients than available addresses. New clients cannot obtain an address.",PENDING_CAPTURE,"The DHCP address pool has run out of available addresses, so new clients cannot obtain an IP lease and fall back to APIPA.",Layer 3,High,show ip dhcp binding,"Check current leases with show ip dhcp binding and the pool size with show ip dhcp pool; determine if the pool is exhausted; either expand the pool range or reduce the number of clients; release unneeded leases with clear ip dhcp binding; verify a new client obtains an address.",SAMPLE
NET-008,"DHCP Assigning Wrong Subnet",DHCP,"Clients receive an IP address from DHCP, but the address is in the wrong subnet and they cannot reach the intended network resources.","The DHCP server pool is configured with a network and mask that does not match the subnet where the clients actually reside.",PENDING_CAPTURE,"The DHCP pool is configured for the wrong network range, so clients in one subnet receive addresses from a different subnet.",Layer 3,Medium,show ip dhcp pool,"Inspect the DHCP pool configuration with show ip dhcp pool and show running-config; compare the pool network with the client subnet; correct the pool network and mask; verify a client receives an address in the correct range with show ip dhcp binding.",SAMPLE
NET-009,"DHCP Relay Not Forwarding",DHCP,"Clients on a remote VLAN receive no DHCP address and default to 169.254.x.x, even though a DHCP server exists on another VLAN.","There is a DHCP server on VLAN 10 and clients on VLAN 20. The router interface for VLAN 20 has no DHCP relay configuration, so client requests are not forwarded to the server.",PENDING_CAPTURE,"The VLAN 20 router interface has no ip helper-address pointing to the DHCP server, so DHCP broadcast requests are not relayed to the server on VLAN 10.",Layer 3,Medium,show running-config,"View the VLAN interface configuration with show running-config; confirm there is no ip helper-address on the client VLAN interface; add ip helper-address <dhcp_server_ip> to the VLAN 20 interface; verify clients obtain an address.",SAMPLE
NET-010,"DNS Server Unreachable on Client",DNS,"A PC can ping devices by IP address but cannot resolve hostnames. Name resolution fails for all names.","The client is configured with an IP address for a DNS server, but that DNS server is unreachable from the client LAN (wrong IP or the server is down). Ping to the DNS server IP fails, while other remote IPs succeed.",PENDING_CAPTURE,"The DNS server IP address configured on the client is missing or unreachable, so the client cannot perform name resolution even though IP connectivity exists.",Layer 7,Medium,ipconfig /all,"Check the configured DNS server with ipconfig /all; ping the DNS server IP to confirm reachability; correct the DNS server address to a reachable server; verify name resolution with nslookup.",SAMPLE
